ID Pedido;Data Pedido;Data Envio;Modo Envio;Prioridade Pedido
CA-2012-124891;31-07-2012;31-07-2012;Mesmo Dia;Critico
CA-2012-124891;31-07-2012;31-07-2012;Mesmo Dia;Critico
IN-2013-77878;05-02-2013;07-02-2013;Segunda Classe;Critico
IN-2013-71249;17-10-2013;18-10-2013;Primeira Classe;Medio
ES-2013-1579342;28-01-2013;30-01-2013;Primeira Classe;Medio
SG-2013-4320;05-11-2013;06-11-2013;Mesmo Dia;Critico
IN-2013-42360;28-06-2013;01-07-2013;Segunda Classe;Critico
IN-2011-81826;07-11-2011;09-11-2011;Primeira Classe;Critico
IN-2012-86369;14-04-2012;18-04-2012;Classe Padrao;Alto
CA-2014-135909;14-10-2014;21-10-2014;Classe Padrao;Baixo
CA-2012-116638;28-01-2012;31-01-2012;Segunda Classe;Critico
CA-2011-102988;05-04-2011;09-04-2011;Segunda Classe;Alto
ID-2012-28402;19-04-2012;22-04-2012;Primeira Classe;Alto
SA-2011-1830;27-12-2011;29-12-2011;Segunda Classe;Critico
MX-2012-130015;13-11-2012;13-11-2012;Mesmo Dia;Critico
IN-2013-73951;06-06-2013;08-06-2013;Segunda Classe;Critico
ES-2014-5099955;31-07-2014;03-08-2014;Segunda Classe;Critico
CA-2014-143567;03-11-2014;06-11-2014;Segunda Classe;Critico
ES-2014-1651774;08-09-2014;14-09-2014;Classe Padrao;Baixo
IN-2014-11763;31-01-2014;01-02-2014;Primeira Classe;Critico
TZ-2014-8190;05-12-2014;07-12-2014;Segunda Classe;Alto
PL-2012-7820;08-08-2012;10-08-2012;Primeira Classe;Critico
CA-2011-154627;29-10-2011;31-10-2011;Primeira Classe;Alto
IN-2011-44803;02-05-2011;03-05-2011;Primeira Classe;Critico
ES-2013-2860574;27-02-2013;01-03-2013;Segunda Classe;Alto
US-2014-133193;31-07-2014;01-08-2014;Primeira Classe;Critico
MX-2014-165309;05-09-2014;08-09-2014;Primeira Classe;Critico
IN-2011-10286;17-12-2011;20-12-2011;Primeira Classe;Critico
ES-2011-4699764;14-03-2011;17-03-2011;Segunda Classe;Critico
CA-2013-159016;11-03-2013;12-03-2013;Primeira Classe;Alto
IN-2012-44810;25-02-2012;25-02-2012;Mesmo Dia;Critico
US-2011-128776;28-12-2011;30-12-2011;Segunda Classe;Critico
ES-2012-5870268;17-07-2012;19-07-2012;Primeira Classe;Critico
CA-2012-139731;15-10-2012;15-10-2012;Mesmo Dia;Alto
IN-2011-28087;03-11-2011;05-11-2011;Segunda Classe;Critico
CA-2011-168494;12-12-2011;14-12-2011;Segunda Classe;Alto
CG-2011-8610;14-09-2011;15-09-2011;Primeira Classe;Alto
CA-2011-160766;14-09-2011;14-09-2011;Mesmo Dia;Alto
US-2014-168116;05-11-2014;05-11-2014;Mesmo Dia;Alto
ES-2014-2637201;14-01-2014;18-01-2014;Classe Padrao;Alto
IN-2011-61302;10-01-2011;11-01-2011;Primeira Classe;Medio
ID-2013-63976;22-08-2013;26-08-2013;Classe Padrao;Alto
IN-2014-37320;11-11-2014;15-11-2014;Classe Padrao;Alto
IN-2014-76016;26-09-2014;28-09-2014;Segunda Classe;Medio
ES-2012-5877219;13-12-2012;17-12-2012;Classe Padrao;Alto
IT-2011-3183678;23-09-2011;25-09-2011;Primeira Classe;Critico
CA-2011-116904;23-09-2011;28-09-2011;Classe Padrao;Medio
IT-2013-3085011;08-03-2013;08-03-2013;Mesmo Dia;Critico
IN-2014-50473;28-08-2014;29-08-2014;Primeira Classe;Alto
IN-2014-35983;01-05-2014;01-05-2014;Mesmo Dia;Critico
MX-2014-126984;18-12-2014;20-12-2014;Segunda Classe;Alto
US-2012-163825;16-06-2012;19-06-2012;Primeira Classe;Alto
IR-2014-8540;18-09-2014;21-09-2014;Primeira Classe;Critico
US-2014-135013;25-07-2014;25-07-2014;Mesmo Dia;Alto
MZ-2013-3690;18-12-2013;18-12-2013;Mesmo Dia;Alto
