Pedido;Cliente;Produto;Valor Venda;Quantidade Vendida;Custo Envio
CA-2012-124891;RH-19495;TEC-AC-10003033;2309,65;7;933,57
IN-2013-77878;JR-16210;FUR-CH-10003950;3709,395;9;923,63
IN-2013-71249;CR-12730;TEC-PH-10004664;5175,171;9;915,49
ES-2013-1579342;KM-16375;TEC-PH-10004583;2892,51;5;910,16
SG-2013-4320;RH-9495;TEC-SHA-10000501;2832,96;8;903,04
IN-2013-42360;JM-15655;TEC-PH-10000030;2862,675;5;897,35
IN-2011-81826;TS-21340;FUR-CH-10004050;1822,08;4;894,77
IN-2012-86369;MB-18085;FUR-TA-10002958;5244,84;6;878,38
CA-2014-135909;JW-15220;OFF-BI-10003527;5083,96;5;867,69
CA-2012-116638;JH-15985;FUR-TA-10000198;4297,644;13;865,74
CA-2011-102988;GM-14695;OFF-SU-10002881;4164,05;5;846,54
ID-2012-28402;AJ-10780;FUR-TA-10001889;4626,15;5;835,57
SA-2011-1830;MM-7260;TEC-CIS-10001717;2616,96;4;832,41
MX-2012-130015;VF-21715;FUR-CH-10002033;2221,8;7;810,25
IN-2013-73951;PF-19120;OFF-AP-10003500;3701,52;12;804,54
ES-2014-5099955;BP-11185;OFF-AP-10000423;1869,588;4;801,66
CA-2014-143567;TB-21175;TEC-AC-10004145;2249,91;9;780,7
ES-2014-1651774;PJ-18835;OFF-AP-10004512;7958,58;14;778,32
IN-2014-11763;JS-15685;TEC-CO-10000865;2565,594;9;766,93
TZ-2014-8190;RH-9555;OFF-KIT-10004058;3409,74;6;763,38
PL-2012-7820;AB-600;FUR-HON-10000224;1977,72;4;759,47
CA-2011-154627;SA-20830;TEC-PH-10001363;2735,952;6;752,51
IN-2011-44803;JK-15325;FUR-CH-10000027;2754;6;752,47
ES-2013-2860574;LB-16795;OFF-AP-10003590;5273,7;10;730,91
US-2014-133193;NP-18325;TEC-PH-10004182;1713,84;4;728,97
MX-2014-165309;VD-21670;FUR-TA-10002827;2106,496;8;728,39
IN-2011-10286;PB-19210;FUR-TA-10004744;1715,16;2;725,57
ES-2011-4699764;EB-14110;OFF-AP-10004512;3069,738;6;725,34
CA-2013-159016;KF-16285;TEC-PH-10002885;4158,912;8;714,66
IN-2012-44810;BP-11230;FUR-CH-10001415;1878,72;4;704,08
US-2011-128776;RR-19525;TEC-PH-10002815;1696,64;5;704,06
ES-2012-5870268;BS-11365;TEC-MA-10000161;2402,865;9;699,55
CA-2012-139731;JE-15745;FUR-CH-10002024;2453,43;5;690,42
IN-2011-28087;DP-13105;OFF-AP-10004246;2526,93;5;689,8
CA-2011-168494;NP-18700;FUR-TA-10003473;3610,848;12;683,12
CG-2011-8610;AH-30;TEC-APP-10000308;3817,26;6;678,15
CA-2011-160766;DM-13015;TEC-MA-10003979;2799,96;4;675,15
US-2014-168116;GT-14635;TEC-MA-10004125;7999,98;4;674,82
ES-2014-2637201;PO-18865;TEC-CO-10000013;4141,02;13;668,96
IN-2011-61302;DL-12865;TEC-PH-10004664;2875,095;5;665,27
ID-2013-63976;JB-16000;TEC-PH-10000499;3200,5962;6;660,87
IN-2014-37320;BF-11005;TEC-PH-10003856;4518,78;7;658,69
IN-2014-76016;VG-21805;FUR-BO-10004852;5667,87;13;658,35
ES-2012-5877219;GT-14710;TEC-PH-10004583;5785,02;9;656,73
IT-2011-3183678;ZC-21910;OFF-AP-10000486;3018,624;7;655,91
CA-2011-116904;SC-20095;OFF-BI-10001120;9449,95;5;655,61
IT-2013-3085011;EB-13840;FUR-CH-10003365;2092,5;5;652,98
IN-2014-50473;AP-10915;FUR-CH-10000602;2761,2;6;644,75
IN-2014-35983;SW-20275;TEC-MA-10002680;2174,13;7;637,86
MX-2014-126984;JH-15820;FUR-CH-10000891;3473,14;11;634,53
US-2012-163825;LC-16885;OFF-BI-10003527;3050,376;3;632,05
IR-2014-8540;TG-11640;TEC-CAN-10003392;2108,64;8;630,97
US-2014-135013;HR-14830;TEC-CO-10001449;2399,96;5;630,05
IN-2011-10286;PB-19210;FUR-BO-10001372;2197,5;5;627,27
MZ-2013-3690;DG-3300;TEC-MOT-10002272;2582,16;4;627,17
IN-2012-66342;SG-20470;TEC-CO-10004997;1526,52;4;625,77
CA-2012-111829;FH-14365;TEC-CO-10001766;3149,93;7;617,92
IN-2012-48240;GP-14740;FUR-TA-10000226;1745,34;2;616,27
IN-2014-61792;MW-18220;OFF-AP-10002244;4191,507;9;614,34
CA-2014-129021;PO-18850;TEC-PH-10001459;4367,896;13;609,44
IN-2014-75470;CS-12460;FUR-BO-10001073;3063,27;7;609,24
CA-2012-114811;KD-16495;TEC-MA-10000045;4643,8;4;607,34
ES-2014-4673578;MS-17980;TEC-PH-10002035;4473;7;604,4
IT-2013-3376681;KC-16675;TEC-PH-10002565;1502,01;9;600,21
IN-2014-66615;DB-13405;FUR-CH-10000027;5049;11;595,5
CA-2013-143805;JD-15895;OFF-AP-10002945;2104,55;7;594,02
IT-2014-4540740;DK-13090;FUR-BO-10004999;2188,05;5;593,91
IN-2014-11231;CS-11845;FUR-TA-10001205;1920,36;4;592,77
MX-2014-154907;EM-14200;TEC-PH-10004196;1704;4;592,73
UP-2011-8610;DW-3480;FUR-CHR-10001018;1858,68;4;590,56
IN-2013-40050;AS-10225;FUR-CH-10003232;3298,26;7;589,36
MX-2011-110275;ST-20530;OFF-AP-10001630;2443,48;13;589,29
CG-2013-6110;BW-1065;FUR-HAR-10002873;3808,8;8;588,13
IN-2014-30110;LA-16780;FUR-TA-10000687;3427,1496;7;586,57
ES-2012-2058076;AB-10150;TEC-PH-10004505;3441,69;6;585,25
IN-2014-51950;JH-15820;TEC-PH-10002683;2863,35;5;581,88
CA-2012-145352;CM-12385;OFF-BI-10003527;6354,95;5;581,12
ES-2013-4670866;BE-11410;TEC-CO-10002269;1487,4;10;580,98
IN-2011-62506;SZ-20035;TEC-CO-10002526;3200,04;9;576,71
IN-2011-46413;RM-19375;FUR-CH-10000602;2301;5;573,27
ES-2014-3785216;HG-14845;FUR-CH-10002891;5729,346;14;572,95
MO-2014-2000;DP-3105;TEC-CAN-10001437;5301,24;14;568,45
CA-2014-138289;AR-10540;OFF-BI-10004995;5443,96;4;567,95
CA-2014-118892;TP-21415;FUR-CH-10002024;4416,174;9;566,65
ES-2013-1434123;JB-16000;TEC-PH-10004327;3219,9;5;564,25
ID-2012-78207;AM-10705;OFF-AP-10001621;2487,8088;6;562,14
MO-2013-8630;AB-255;OFF-HOO-10001881;2266,44;4;556,45
IN-2012-64774;RP-19270;TEC-CO-10001954;3068,361;9;555,77
IN-2013-48765;BK-11260;FUR-BO-10003282;3728,43;9;553,31
IN-2013-69730;JM-15250;TEC-CO-10003102;1581,48;6;550,74
IN-2012-48240;GP-14740;TEC-PH-10004664;1916,73;3;548,4
US-2013-102239;LW-16990;FUR-TA-10003392;1685,88;6;548,08
ES-2013-3467296;NZ-18565;OFF-AP-10002552;2432,16;5;546,9
CA-2014-6550;SV-10815;TEC-MOT-10000554;3863,88;6;546,56
ID-2013-25742;SC-20695;FUR-CH-10001415;2465,82;7;546,49
IN-2012-86698;NC-18625;FUR-TA-10003627;1847,52;2;545,89
ES-2013-2903666;NF-18385;FUR-BO-10001133;2899,89;7;541,59
IN-2012-30446;NZ-18565;FUR-CH-10000027;2891,7;7;541,57
IT-2012-1779015;PM-18940;TEC-MA-10003515;2016,846;9;540,77
ES-2013-3903130;MZ-17335;OFF-AP-10002904;3155,544;7;539,94
CG-2013-3470;HM-4980;TEC-MOT-10003348;3856,14;6;533,99
IN-2014-13639;RW-19540;TEC-PH-10001990;3524,472;6;531,28
ES-2012-2510515;LH-17155;TEC-PH-10002898;2167,296;4;531,09
MX-2012-153157;FH-14365;TEC-PH-10004196;2556;6;530,49
ES-2011-2585328;KM-16660;TEC-CO-10001633;1469,25;5;527,87
ES-2011-4500805;PO-18865;TEC-PH-10002623;4448,832;8;527,85
CA-2014-107174;AB-10060;FUR-TA-10004575;2036,86;7;524,76
MX-2013-113824;AB-10060;FUR-BO-10001498;2472,66;9;523,47
IN-2013-45076;DB-13060;OFF-AP-10003598;3739,176;8;522,79
IT-2013-5208514;VM-21685;FUR-CH-10001582;2570,865;11;520,89
US-2013-107440;BS-11365;TEC-MA-10001047;9099,93;7;516,91
ES-2012-2314672;DM-13525;TEC-PH-10000505;2875,77;9;516,63
ES-2012-4765389;NM-18520;FUR-BO-10002003;1741,8;4;515,24
IN-2013-15368;LC-16885;TEC-CO-10001775;1601,64;5;511,47
IN-2011-18385;RO-19780;OFF-AP-10000647;3670,8;7;510,72
CA-2012-149846;SB-20185;TEC-MA-10004002;2973,32;7;510,18
ES-2013-2757712;EM-14065;TEC-CO-10001926;1900,95;5;506,89
CA-2011-106726;RS-19765;OFF-ST-10001496;1261,33;7;506,49
IT-2011-1978668;ON-18715;FUR-CH-10002203;4544,1;11;506,27
IN-2013-63773;VS-21820;FUR-BO-10001934;1455,12;4;504,56
IN-2013-10965;CM-12115;TEC-CO-10000562;1943,19;6;499,62
CA-2011-145541;TB-21400;TEC-MA-10001127;6999,96;4;499,55
CA-2013-117121;AB-10105;OFF-BI-10000545;9892,74;13;498,7
ID-2013-79432;JK-15325;TEC-CO-10002035;1695,87;5;498,62
IT-2014-4499061;RP-19270;TEC-CO-10004099;1505,979;6;498,52
IN-2014-34226;DW-13540;TEC-PH-10003002;1954,17;3;498,38
CA-2011-136567;PS-19045;FUR-TA-10001932;2244,48;7;498,14
CA-2013-143714;CC-12370;TEC-CO-10004722;8399,976;4;498,08
CA-2011-151330;TC-21295;FUR-CH-10000749;1628,82;9;496,46
MX-2014-158386;GM-14440;TEC-CO-10004398;1213,18876;7;493,41
IN-2013-30663;SV-20815;TEC-CO-10004535;1590,6;5;493,2
IN-2013-77444;MM-17920;TEC-AC-10000420;2330,64;9;492,79
IN-2014-39077;JK-16120;FUR-BO-10001212;3278,5848;8;492,28
ID-2012-60980;EM-14200;TEC-PH-10001670;3741,5238;7;491,91
CA-2013-128594;DJ-13510;FUR-CH-10001215;1603,136;4;489,6
IN-2012-57025;PM-18940;FUR-BO-10004679;3637,602;10;487,86
MX-2013-157868;AT-10435;OFF-AP-10001776;2455,88;7;487,48
ID-2012-66111;AB-10015;TEC-MA-10003704;1024,68;8;487,32
CA-2011-120474;RP-19390;FUR-CH-10001854;2807,84;8;487,15
CA-2013-100300;MJ-17740;TEC-MA-10000984;4476,8;4;485,47
MX-2012-164791;PV-18985;TEC-AC-10000376;2297,96;14;483,26
IT-2013-1350483;SB-20290;TEC-CO-10003800;2671,41;7;483,04
SO-2014-4990;SM-10005;TEC-SAM-10004230;3834;6;481,04
CA-2014-149559;KF-16285;FUR-CH-10002320;2054,272;8;480,56
IN-2012-30943;KH-16330;OFF-AP-10002312;3501,7368;8;479,96
IN-2014-13324;MP-18175;TEC-PH-10000169;1725,462;3;479,94
IN-2012-46889;LH-17020;TEC-CO-10000865;1583,7;5;479,67
CA-2012-114069;ND-18370;FUR-CH-10000595;1931,04;9;477,15
ID-2013-35640;CR-12625;FUR-BO-10000288;2760,345;7;475,34
IN-2011-30292;NC-18625;TEC-AC-10000866;3078,72;12;474,44
IT-2011-3675195;GM-14680;OFF-AP-10001623;1983,135;7;473,27
ES-2014-2034971;RA-19945;FUR-BO-10003541;1112,778;3;472
ES-2011-1426891;DB-13060;TEC-CO-10004365;3616,5;10;471,92
CA-2014-159366;BW-11110;TEC-MA-10000822;3059,982;2;471,22
IN-2013-14773;RF-19735;TEC-PH-10000499;2892,105;5;470,29
ES-2012-4934238;JH-15820;TEC-PH-10000800;3263,4;5;469,29
CA-2013-108987;AG-10675;FUR-BO-10004834;2396,2656;4;469,16
MX-2014-111941;DM-12955;FUR-TA-10001642;3117,088;13;466,7
US-2013-143819;KD-16270;TEC-MA-10003979;4899,93;7;466,33
MX-2014-152961;BE-11335;OFF-AP-10001041;1888,7;5;465,92
IN-2013-17041;SO-20335;OFF-AP-10002090;3000,78;6;465,63
ES-2013-4679331;DK-12835;OFF-AP-10002330;3801,63;7;465,02
SA-2014-1270;LC-7050;TEC-CIS-10002344;5211,12;8;463,98
IN-2011-10286;PB-19210;FUR-TA-10002153;1356,03;3;458,97
