ID;Ano Nascimento;Escolaridade;Estado Civil;Salario Anual;Filhos em Casa;Adolescentes em Casa;Data Cadastro;Dias Desde Ultima Compra;Gasto com Eletronicos;Gasto com Brinquedos;Gasto com Moveis;Gasto com Utilidades;Gasto com Alimentos;Gasto com Vestuario;Numero de Compras com Desconto;Numero de Compras na Web;Numero de Compras via Catalogo;Numero de Compras na Loja;Numero Visitas WebSite Mes;Compra na Campanha 1;Compra na Campanha 2;Compra na Campanha 3;Compra na Campanha 4;Compra na Campanha 5;Comprou;Pais
2795;1958;Mestrado;Solteiro;30523;2;1;07/01/2020;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;Chile
2285;1954;Mestrado;Casado;36634;0;1;05/12/2023;0;213;9;76;4;3;30;3;5;2;5;7;0;0;0;0;0;0;Espanha
115;1966;Mestrado;Solteiro;43456;0;1;03/02/2023;0;275;11;68;25;7;7;3;5;1;8;5;0;0;0;0;0;0;Argentina
10470;1979;Mestrado;Solteiro;40662;1;0;03/05/2023;0;40;2;23;0;4;23;2;2;1;3;4;0;0;0;0;0;0;Alemanha
4065;1976;Doutorado;Solteiro;49544;1;0;02/11/2020;0;308;0;73;0;0;23;2;5;1;8;7;0;0;0;0;0;0;Estados Unidos
10968;1969;Curso Superior;Solteiro;57731;0;1;11/04/2022;0;266;21;300;65;8;44;4;8;8;6;6;0;0;0;0;0;0;Argentina
5985;1965;Mestrado;Solteiro;33168;0;1;10/12/2022;0;80;1;37;0;1;3;3;2;1;4;7;0;0;0;0;0;0;Estados Unidos
5430;1956;Curso Superior;Casado;54450;1;1;09/04/2022;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;0;Estados Unidos
8432;1956;Curso Superior;Casado;54450;1;1;09/04/2022;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;0;Estados Unidos
453;1956;Doutorado;Divorciado;35340;1;1;6/07/2021;1;27;0;12;0;1;5;2;2;0;3;5;0;0;0;0;0;0;Estados Unidos
1826;1970;Curso Superior;Divorciado;84835;0;0;6/03/2021;0;189;104;379;111;189;218;1;4;4;6;1;0;0;0;0;0;1;Estados Unidos
1;1961;Curso Superior;Solteiro;57091;0;0;6/03/2021;0;464;5;64;7;0;37;1;7;3;7;5;0;0;0;0;1;1;Chile
10476;1958;Curso Superior;Solteiro;67267;0;1;5/07/2021;0;134;11;59;15;2;30;1;3;2;5;2;0;0;0;0;0;0;Portugal
1386;1967;Curso Superior;Casado;32474;1;1;05/11/2018;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;Brasil
5371;1989;Curso Superior;Solteiro;21474;1;0;04/08/2018;0;6;16;24;11;0;34;2;3;1;2;7;1;0;0;0;0;1;Estados Unidos
7348;1958;Doutorado;Solteiro;71691;0;0;3/02/2021;0;336;130;411;240;32;43;1;4;7;5;2;0;0;0;0;0;1;Estados Unidos
4073;1954;Segundo Grau;Solteiro;63564;0;0;1/07/2021;0;769;80;252;15;34;65;1;10;10;7;6;1;0;0;0;0;1;Alemanha
1991;1967;Curso Superior;Casado;44931;0;1;1/04/2021;0;78;0;11;0;0;7;1;2;1;3;5;0;0;0;0;0;0;Estados Unidos
4047;1954;Doutorado;Solteiro;65324;0;1;01/11/2018;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;Portugal
9477;1954;Doutorado;Solteiro;65324;0;1;01/11/2018;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;Argentina
2079;1947;Segundo Grau;Solteiro;81044;0;0;12/03/2023;0;450;26;535;73;98;26;1;5;6;10;1;0;0;0;0;0;0;Portugal
5642;1979;Mestrado;Casado;62499;1;0;12/09/2020;0;140;4;61;0;13;4;2;3;1;6;4;0;0;0;0;0;0;Estados Unidos
10530;1959;Doutorado;Divorciado;67786;0;0;12/07/2020;0;431;82;441;80;20;102;1;3;6;6;1;0;0;0;0;0;1;Argentina
2964;1981;Curso Superior;Solteiro;26872;0;0;10/01/2023;0;3;10;8;3;16;32;1;1;1;2;6;0;0;0;0;0;0;Chile
10311;1969;Curso Superior;Solteiro;4428;0;1;10/05/2020;0;16;4;12;2;4;321;0;25;0;0;1;0;0;0;0;0;0;Estados Unidos
837;1977;Curso Superior;Solteiro;54809;1;1;09/11/2020;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;0;Estados Unidos
10521;1977;Curso Superior;Solteiro;54809;1;1;09/11/2020;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;1;Estados Unidos
10175;1958;Doutorado;Divorciado;32173;0;1;08/01/2020;0;18;0;2;0;0;2;1;1;0;3;4;0;0;0;0;0;0;Estados Unidos
1473;1960;Segundo Grau;Solteiro;47823;0;1;7/04/2023;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;Chile
9687;1975;Curso Superior;Solteiro;73170;0;0;5/08/2021;1;184;174;256;50;30;32;1;5;4;6;2;0;0;0;0;0;0;Chile
8890;1971;Doutorado;Divorciado;65808;1;1;5/02/2021;1;155;7;80;13;7;10;3;5;1;5;6;0;0;0;0;0;0;Estados Unidos
9264;1986;Curso Superior;Solteiro;79529;0;0;4/03/2021;1;423;42;706;73;197;197;1;4;8;9;2;0;0;0;0;0;0;Chile
5824;1972;Doutorado;Casado;34578;2;1;04/11/2018;1;7;0;1;0;0;0;1;1;0;2;6;0;0;0;0;0;0;Brasil
5794;1974;Doutorado;Solteiro;46374;0;1;3/02/2021;1;408;0;21;0;0;17;3;7;1;7;8;0;1;0;1;0;1;Argentina
3068;1990;Curso Superior;Solteiro;18351;0;0;10/07/2023;1;1;12;9;0;14;7;1;2;0;3;7;0;0;0;0;0;0;Estados Unidos
7962;1987;Doutorado;Solteiro;95169;0;0;10/09/2020;1;1285;21;449;106;20;20;1;4;3;4;1;0;0;1;1;0;1;Estados Unidos
2681;1984;Segundo Grau;Solteiro;65370;0;0;08/01/2020;1;71;22;112;138;89;29;1;2;3;13;1;0;0;0;0;0;0;Estados Unidos
10141;1960;Mestrado;Divorciado;39228;0;0;05/10/2020;1;7;1;6;0;3;3;1;0;0;3;4;0;0;0;0;0;0;Espanha
3725;1961;Doutorado;Solteiro;84865;0;0;05/09/2020;1;1248;16;349;43;16;16;1;2;4;9;4;0;1;1;1;1;1;Estados Unidos
3767;1968;Curso Superior;Solteiro;61314;0;1;4/04/2023;1;378;0;189;97;172;172;2;5;5;12;3;0;0;0;0;0;0;Estados Unidos
5585;1972;Curso Superior;Solteiro;21359;1;0;04/05/2022;1;12;2;17;6;1;10;2;2;0;3;8;0;0;0;0;0;1;Chile
7030;1955;Doutorado;Solteiro;66465;0;1;3/02/2023;1;1200;0;204;38;29;14;3;11;9;12;6;0;0;0;1;0;0;Estados Unidos
1524;1983;Segundo Grau;Solteiro;81698;0;0;03/01/2020;1;709;45;115;30;160;45;1;8;2;5;5;0;0;0;1;0;1;Estados Unidos
3657;1986;Curso Superior;Solteiro;39146;1;0;2/02/2023;1;94;1;33;13;12;12;3;4;0;4;8;0;0;0;0;0;0;Estados Unidos
5740;1970;Segundo Grau;Divorciado;25959;1;1;2/02/2023;1;4;2;12;7;5;26;2;1;2;2;6;0;0;0;0;0;1;Estados Unidos
9595;1961;Curso Superior;Casado;64260;0;0;01/11/2020;1;539;169;816;20;0;30;1;4;5;4;3;0;0;0;0;0;1;Estados Unidos
3158;1973;Curso Superior;Solteiro;32300;1;0;01/03/2020;1;13;3;6;6;5;6;1;1;0;3;8;0;0;0;0;0;0;Estados Unidos
5114;1965;Mestrado;Solteiro;74806;0;1;12/04/2022;1;670;9;249;0;28;9;2;5;4;5;4;0;0;0;0;0;0;Brasil
340;1970;Curso Superior;Divorciado;72967;0;1;12/03/2022;1;158;35;179;0;0;125;2;7;2;8;5;1;0;0;0;0;1;Alemanha
8805;1960;Curso Superior;Solteiro;48904;0;1;12/02/2019;1;283;10;38;0;13;27;4;7;2;4;8;0;0;0;0;0;0;Portugal
1241;1984;Segundo Grau;Solteiro;14796;1;0;9/02/2022;1;13;3;8;7;4;16;2;1;0;3;9;0;0;0;0;0;1;Alemanha
1402;1954;Mestrado;Solteiro;66991;0;0;09/11/2019;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;Alemanha
7264;1978;Segundo Grau;Solteiro;52195;2;1;05/04/2018;2;12;0;4;0;0;1;1;1;0;2;8;0;0;0;0;0;0;Espanha
1619;1956;Curso Superior;Solteiro;90369;0;0;4/03/2021;2;292;51;981;224;23;17;1;4;6;6;1;0;0;0;0;0;1;Estados Unidos
6398;1974;Primeiro Grau;Solteiro;18393;1;0;3/07/2021;2;7;10;13;16;0;4;2;3;0;3;8;0;0;0;0;0;0;Estados Unidos
1857;1952;Curso Superior;Solteiro;47139;1;1;03/06/2018;2;46;0;12;0;2;23;2;2;1;2;7;0;0;0;0;0;1;Estados Unidos
4877;1973;Mestrado;Solteiro;38576;0;1;03/04/2018;2;34;0;7;0;0;0;1;1;0;3;7;0;0;0;0;0;0;Argentina
3066;1975;Doutorado;Casado;61905;0;1;02/04/2018;2;167;0;43;6;2;13;2;4;2;4;5;0;0;0;0;0;0;Espanha
10286;1962;Curso Superior;Solteiro;83715;0;0;02/03/2018;2;318;8;407;150;35;8;1;2;8;13;0;0;0;0;0;0;0;Espanha
1992;1964;Curso Superior;Solteiro;60597;0;1;01/01/2018;2;522;0;257;32;16;66;4;2;2;8;7;0;0;0;1;0;1;Estados Unidos
4246;1982;Mestrado;Solteiro;6560;0;0;12/04/2020;2;67;11;26;4;3;262;0;1;0;1;17;0;0;0;0;0;0;Estados Unidos
10623;1961;Mestrado;Casado;48330;0;1;11/03/2023;2;28;0;4;0;0;0;1;1;0;3;5;0;0;0;0;0;0;Estados Unidos
4867;1968;Doutorado;Solteiro;38236;1;1;09/05/2022;2;58;0;18;2;0;10;4;3;0;4;7;0;0;0;0;0;0;Estados Unidos
3112;1977;Mestrado;Solteiro;22701;1;0;09/05/2020;2;2;4;9;0;4;5;1;1;0;3;5;0;0;0;0;0;0;Estados Unidos
4865;1974;Mestrado;Divorciado;53367;1;1;8/08/2023;2;229;7;140;10;3;11;7;5;1;8;7;0;0;0;0;0;1;Brasil
6287;1986;Curso Superior;Casado;34728;1;0;7/02/2023;2;14;0;16;0;0;6;1;1;1;2;6;0;0;0;0;0;1;Estados Unidos
4405;1956;Mestrado;Solteiro;63915;0;2;7/02/2023;2;622;7;115;30;0;15;2;6;3;12;5;0;0;0;0;0;0;Brasil
