Id_Funcionario,Idade,Genero,Estado Civil,Departamento,Funcao,Viagem,Valor Diaria,Indice_Envolvimento_Trabalho,Nivel_Satisfacao_Trabalho,Salario_Mensal,Numero_Empresas_Anteriores,Disponivel_Hora_Extra,Percentual_Ultimo_Aumento_Salario,Aval_Performance,Anos_Experiencia,Numero_Treinamentos_Ano_Anterior,Anos_na_Empresa,Anos_Funcao_Atual,Anos_Desde_Ultima_Promocao,Anos_com_Gerente_Atual
1,41,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1102,3,4,15993,8,S,11,3,8,0,6,4,0,5
2,49,Masculino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,279,2,2,15130,1,N,23,4,10,3,10,7,1,7
4,37,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1373,2,3,12090,6,S,15,3,7,3,0,0,0,0
5,33,Feminino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,1392,3,3,12909,1,S,11,3,8,3,8,7,3,0
7,27,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,591,3,2,13468,9,N,12,3,6,3,2,2,2,2
8,32,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,1005,3,4,13068,0,N,13,3,8,2,7,7,3,6
10,59,Feminino,Casado,Data Science,Analista de Dados,Viaja Raramente,1324,4,1,12670,4,S,20,4,12,3,1,0,0,0
11,30,Masculino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,1358,3,3,12693,1,N,22,4,1,2,1,0,0,0
12,38,Masculino,Solteiro,Data Science,Arquiteto de Dados,Viaja Frequentemente,216,2,3,19526,0,N,21,4,10,2,9,7,1,8
13,36,Masculino,Casado,Data Science,Engenheiro de Dados,Viaja Raramente,1299,3,3,15237,6,N,13,3,17,3,7,7,7,7
14,35,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,809,4,2,12426,0,N,13,3,6,5,5,4,0,3
15,29,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,153,2,3,14193,0,S,12,3,10,3,9,5,0,8
16,31,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,670,3,3,12911,1,N,17,3,5,1,5,2,4,3
18,34,Masculino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,1346,3,4,12661,0,N,11,3,3,2,2,2,1,2
19,28,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,103,2,3,12028,5,S,14,3,6,4,4,2,0,3
20,29,Feminino,Divorciado,Data Science,Arquiteto de Dados,Viaja Raramente,1389,4,1,19980,1,N,11,3,10,1,10,9,8,8
21,32,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,334,4,2,13298,0,S,12,3,7,5,6,2,0,5
22,22,Masculino,Divorciado,Data Science,Analista de Dados,Apenas Local,1123,4,4,12935,1,S,13,3,1,2,1,0,0,0
23,53,Feminino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,1219,2,4,15427,2,N,16,3,31,3,25,8,3,7
24,38,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,371,3,4,13944,5,S,11,3,6,3,3,2,1,2
26,24,Feminino,Divorciado,Data Science,Arquiteto de Dados,Apenas Local,673,4,3,14011,0,N,18,3,5,5,4,2,1,3
27,36,Masculino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,1218,2,1,13407,7,N,23,4,10,4,5,3,0,3
28,34,Feminino,Solteiro,Data Science,Engenheiro Analitico,Viaja Raramente,419,3,2,11994,0,N,11,3,13,4,12,6,2,11
30,21,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,391,3,4,11232,1,N,14,3,0,6,0,0,0,0
31,34,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,699,3,1,12960,2,N,11,3,8,2,4,2,1,3
32,53,Feminino,Divorciado,Data Science,Engenheiro de IA,Viaja Raramente,1282,3,3,19094,4,N,11,3,26,3,14,13,4,8
33,32,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,1125,1,1,13919,1,S,22,4,10,5,10,2,6,7
35,42,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,691,3,2,16825,0,N,11,3,10,2,9,7,4,2
36,44,Feminino,Casado,Data Science,Engenheiro de Dados,Viaja Raramente,477,2,4,10248,3,N,14,3,24,4,22,6,5,17
38,46,Feminino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,705,3,1,18947,3,N,12,3,22,2,2,2,2,1
39,33,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,924,3,4,12496,4,N,11,3,7,3,1,1,0,0
40,44,Masculino,Casado,Data Science,Engenheiro de Dados,Viaja Raramente,1459,3,4,16465,2,S,13,3,9,5,4,2,1,3
41,30,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,125,2,3,12206,1,N,13,3,10,5,10,0,1,8
42,39,Masculino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,895,3,4,12086,3,N,14,3,19,6,1,0,0,0
45,24,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,813,3,4,12293,2,S,16,3,6,2,2,0,2,0
46,43,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1273,4,3,12645,1,N,12,3,6,3,5,3,1,4
47,50,Masculino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,869,2,3,2683,1,S,14,3,3,2,3,2,0,2
49,35,Feminino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,890,3,4,2014,1,N,13,3,2,3,2,2,2,2
51,36,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,852,2,1,3419,9,S,14,3,6,3,1,1,0,0
52,33,Feminino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,1141,4,1,5376,2,N,19,3,10,3,5,3,1,3
53,35,Masculino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,464,3,4,1951,1,N,12,3,1,3,1,0,0,0
54,27,Feminino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,1240,3,1,2341,1,N,13,3,1,6,1,0,0,0
55,26,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1357,1,3,2293,1,N,12,3,1,2,1,0,0,1
56,27,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,994,3,3,8726,1,N,15,3,9,0,9,8,1,7
57,30,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,721,3,4,4011,1,N,23,4,12,2,12,8,3,7
58,41,Feminino,Casado,Data Science,Engenheiro Analitico,Viaja Raramente,1360,3,3,19545,1,N,12,3,23,0,22,15,15,8
60,34,Masculino,Solteiro,Data Science,Cientista de Dados,Apenas Local,1065,3,3,4568,0,N,20,4,10,2,9,5,8,7
61,37,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,408,3,2,3022,4,N,21,4,8,1,1,0,0,0
62,46,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,1211,3,4,5772,4,S,21,4,14,4,9,6,0,8
63,35,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,1229,4,4,2269,1,N,19,3,1,2,1,0,0,1
64,48,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,626,2,3,5381,9,S,13,3,23,2,1,0,0,0
65,28,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1434,3,3,3441,1,S,13,3,2,3,2,2,2,2
68,44,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1488,3,1,5454,5,S,21,4,9,2,4,3,1,3
70,35,Masculino,Casado,Data Science,Engenheiro de Dados,Apenas Local,1097,2,1,9884,2,S,13,3,10,3,4,0,2,3
72,26,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1443,2,4,4157,7,S,19,3,5,2,2,2,0,0
73,33,Feminino,Solteiro,Data Science,Engenheiro Analitico,Viaja Frequentemente,515,3,4,13458,1,S,12,3,15,1,15,14,8,12
74,35,Masculino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,853,3,1,9069,1,N,22,4,9,3,9,8,1,8
75,35,Feminino,Casado,Data Science,Analista de Dados,Viaja Raramente,1142,3,1,4014,3,S,15,3,4,3,2,2,2,2
76,31,Masculino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,655,3,4,5915,3,N,22,4,10,3,7,7,1,7
77,37,Masculino,Divorciado,Data Science,Arquiteto de Dados,Viaja Raramente,1115,2,3,5993,1,N,18,3,7,2,7,5,0,7
