ID_Cliente,Idade,Peso,Altura,Estado Civil,Estado,Limite de Credito,Valor Desconto,Valor Compra,Tipo de Cliente
CCIW152,?,65,173,Solteiro,RS,4362,16,3112,Bronze
LVSS431,?,61,166,Casado,RJ,8773,28,892,Ouro
VUNL154,45,61,162,Viúvo,RS,6816,99,4201,Prata
JAKQ206,30,60,171,Divorciado,SP,1697,47,1780,Bronze
EPFC681,49,72,176,Viúvo,RJ,6231,77,2954,Bronze
LZVV215,44,42,151,Solteiro,SP,4385,36,6647,Ouro
EBFA948,52,94,172,Solteiro,SP,5991,20,1189,Prata
ZFGX848,37,59,183,Solteiro,RJ,3629,33,3859,Diamante
VOJM695,59,55,168,Solteiro,RS,7098,56,2180,Prata
LYXQ606,36,58,171,Viúvo,RS,2959,56,5415,Bronze
OJIN499,47,53,165,Solteiro,SP,2986,46,2929,Prata
CAQS439,46,105,185,Divorciado,RJ,5523,57,1994,Ouro
FKWK637,31,73,146,Casado,RS,6672,58,3294,Diamante
ZCKI773,40,54,171,Casado,RS,3413,24,4423,Bronze
HCLV747,59,79,173,Divorciado,RS,4266,91,4825,Prata
XRKR992,34,67,164,Divorciado,RJ,8802,38,1784,Ouro
UTKN400,56,90,162,Solteiro,MG,1239,48,2817,Bronze
YMJI874,29,53,191,Viúvo,RS,3292,77,3281,Prata
NZQL390,52,78,169,Divorciado,MG,5978,50,1528,Diamante
JOLL562,39,59,155,Solteiro,RS,7733,76,6047,Prata
TKNS686,34,67,153,Divorciado,RJ,5005,41,3664,Bronze
NMJK777,28,80,174,Viúvo,RS,3852,53,2023,Prata
HLQR943,44,82,171,Casado,SP,3445,22,1756,Diamante
MTIF329,35,68,176,Viúvo,MG,4877,12,3691,Diamante
IQRW417,45,78,166,Solteiro,RS,5721,66,892,Bronze
VPMO382,39,100,158,Casado,RJ,350,85,3358,Diamante
IZUN238,30,57,166,Solteiro,RS,3883,37,872,Diamante
IGVV147,45,86,157,Casado,RS,4235,18,1435,Diamante
UNGA532,53,80,168,Solteiro,SP,2250,52,4486,Bronze
DYIO125,56,95,168,Divorciado,SP,5687,45,3959,Diamante
CZON884,35,66,163,Viúvo,RJ,5171,23,4907,Diamante
IWNT836,36,82,168,Solteiro,RS,4895,76,3118,Bronze
OWLP785,47,56,171,Solteiro,MG,5206,33,3859,Ouro
OHDP680,40,63,148,Viúvo,MG,5979,49,4504,Ouro
EFQP222,31,65,166,Solteiro,RS,2908,76,1962,Bronze
MLAT963,40,81,163,Solteiro,RJ,2423,29,550,Prata
XVKL970,42,58,168,Divorciado,MG,4969,52,2916,Diamante
PMDD253,40,43,162,Solteiro,RJ,7529,21,4339,Prata
XBTG101,60,47,165,Casado,MG,5889,37,2429,Prata
RWQJ968,42,49,185,Solteiro,RS,4325,42,3878,Diamante
BZVA640,37,79,167,Solteiro,SP,6316,70,5554,Ouro
XXGP693,36,92,167,Viúvo,RS,7077,42,4456,Prata
ONBT727,48,65,152,Casado,MG,9212,69,3633,Bronze
RHDL379,26,52,146,Casado,MG,5034,62,1778,Ouro
RZRP432,50,71,172,Viúvo,SP,4751,47,5750,Prata
YQIM754,45,76,163,Casado,RS,4490,12,3197,Ouro
TIDQ940,27,52,177,Viúvo,SP,6019,25,2318,Prata
EQAJ848,35,68,192,Casado,MG,4551,41,1021,Ouro
YHQA105,38,65,155,Viúvo,RJ,4061,56,5015,Ouro
LJWW121,36,87,175,Casado,SP,8077,84,4465,Ouro
XJNA112,41,63,180,Casado,RJ,3842,71,5255,Prata
ZRXY530,54,77,172,Divorciado,SP,3496,17,3867,Bronze
CYTJ887,38,47,173,Casado,SP,2945,100,2238,Diamante
JKAW632,36,83,170,Solteiro,MG,5651,52,3068,Diamante
VFWH771,53,86,183,Solteiro,MG,9352,45,2070,Bronze
ZKNH840,45,58,186,Viúvo,RS,5201,83,5693,Diamante
EAYT870,37,81,167,Divorciado,MG,4316,32,1324,Prata
PDXV866,32,61,167,Viúvo,MG,5452,18,3958,Prata
ZUWJ765,28,111,178,Viúvo,RS,1312,4,2994,Bronze
GTDE833,54,68,191,Casado,SP,4058,26,3878,Bronze
HPPC575,46,83,188,Divorciado,RS,3236,22,4124,Bronze
EXUN995,42,73,168,Divorciado,SP,4227,56,3501,Prata
PHNP875,55,42,182,Viúvo,RS,5647,43,6076,Diamante
XRXW652,39,84,181,Divorciado,MG,5636,51,2021,Ouro
MRUX684,28,60,165,Casado,RS,5685,47,1066,Diamante
LVSN759,26,78,182,Solteiro,MG,5054,68,2766,Prata
APPI449,49,65,192,Viúvo,RS,-217,11,2159,Bronze
JWDC961,36,59,151,Solteiro,RS,2639,47,3713,Bronze
HBYO594,48,65,185,Viúvo,MG,5006,-4,2864,Prata
CZHP277,46,81,160,Solteiro,SP,5532,63,3798,Bronze
XZLZ820,42,92,184,Casado,RS,2642,41,3867,Ouro
GUWI676,46,76,158,Viúvo,SP,4468,53,3747,Prata
TZNB172,31,67,175,Solteiro,RJ,4978,58,6679,Bronze
LHVU991,28,95,184,Divorciado,MG,347,22,3852,Prata
FORV756,34,50,165,Divorciado,MG,4707,38,1366,Bronze
DBLQ359,47,51,166,Divorciado,RJ,3539,41,4695,Diamante
