id,idade,renda_anual,pontuacao_gastos
1,56,94740,90
2,69,136352,50
3,46,86617,62
4,32,114841,97
5,60,36896,51
6,25,145729,37
7,38,66175,96
8,56,27805,87
9,36,25237,78
10,40,135247,29
11,28,40056,50
12,28,65543,80
13,41,76556,4
14,70,134548,28
15,53,131488,3
16,57,23343,9
17,41,33500,55
18,20,73222,16
19,39,49375,73
20,70,29662,16
21,19,36964,83
22,41,133429,87
23,61,141692,68
24,47,79638,33
25,55,93666,5
26,19,105067,52
27,38,138937,65
28,50,87215,76
29,29,89042,42
30,39,33284,74
31,61,92789,22
32,42,104664,54
33,66,113468,79
34,44,81389,94
35,59,29435,74
36,45,74340,15
37,33,64078,7
38,32,98832,3
39,64,71293,3
40,68,115981,55
41,61,98781,24
42,69,80403,66
43,20,49124,95
44,54,115435,66
45,68,63919,26
46,24,128761,92
47,38,141305,31
48,26,55247,49
49,56,141172,60
50,35,114758,50
51,21,111747,18
52,42,82752,20
53,31,76573,4
54,67,79101,81
55,26,122756,91
56,43,46646,41
57,70,124185,60
58,19,43049,21
59,37,99605,20
60,45,118116,69
61,64,117379,0
62,24,88385,4
63,61,146131,11
64,25,60158,89
65,64,85417,45
66,52,43289,33
67,31,130226,48
68,34,120793,77
69,53,29823,89
70,67,80160,44
71,57,61975,26
72,21,29540,72
73,19,36364,25
74,23,24611,46
75,59,47663,85
76,21,71991,55
77,46,77679,93
78,35,124182,62
79,43,50977,47
80,61,114704,60
81,51,69115,80
82,27,111007,25
83,53,108223,35
84,31,80890,0
85,48,86387,7
86,65,38071,98
87,32,79275,51
88,25,92369,78
89,31,31938,46
90,40,55195,55
91,57,111680,85
92,38,24000,13
93,33,90588,89
94,62,121042,27
95,35,113610,86
96,64,140420,77
97,70,123691,87
98,41,126306,1
99,43,117856,25
100,42,58304,13
101,62,131783,58
102,58,89449,55
103,46,102986,6
104,32,109643,2
105,62,40764,22
106,18,128940,17
107,42,106027,37
108,24,58494,98
109,26,23373,14
110,41,32161,63
111,18,117532,88
112,61,112658,100
113,25,143633,27
114,41,120386,73
115,28,47350,38
116,68,113008,56
117,34,114297,16
118,25,45351,85
119,52,108668,89
120,52,134585,43
121,50,35305,24
122,22,95353,16
123,59,96797,12
124,56,85953,83
125,58,77458,24
126,45,127112,67
127,24,40358,9
128,26,23267,66
129,25,102745,17
130,29,109588,99
131,51,58513,85
132,50,46092,33
133,65,31338,7
134,40,20412,39
135,41,27543,82
136,54,125891,41
137,52,53496,40
138,61,80692,100
139,57,109084,5
140,39,112920,51
141,44,143555,25
142,52,64425,63
143,18,58756,97
144,52,38888,58
145,54,55735,55
146,64,67295,58
147,31,137474,69
148,20,134352,100
149,18,103042,32
150,22,105999,52
151,43,37955,21
152,31,57841,20
153,56,90640,69
154,44,85510,69
155,26,54911,3
156,32,79031,93
157,32,108726,74
158,43,27357,61
159,59,52479,61
160,30,81476,93
161,68,64811,94
162,49,56208,23
163,56,40150,54
164,66,91180,8
165,69,63286,2
166,49,132856,30
167,21,88450,39
168,47,41352,100
169,54,75069,35
170,40,131888,23
171,56,130448,94
172,62,34397,5
173,32,61555,65
174,60,66959,83
175,46,20728,91
176,53,70517,74
177,30,139180,3
178,49,86234,78
179,24,59954,5
180,68,67280,93
181,39,99459,50
182,45,36779,61
183,19,83932,56
184,59,92936,65
185,62,44466,78
186,70,56939,74
187,23,89896,7
188,45,55270,25
189,45,79163,50
190,61,102637,44
191,61,71934,43
192,37,84895,4
193,47,52307,69
194,28,74098,25
195,45,80921,67
196,42,25486,18
197,56,28335,83
198,50,106900,96
199,18,146020,19
200,44,141954,11
201,69,122795,46
202,30,109112,0
203,58,117203,89
204,20,31130,13
205,56,107508,63
206,23,125955,37
207,25,138324,36
208,44,80566,10
209,26,86703,99
210,54,47192,76
211,50,21062,2
212,68,104076,32
213,59,109780,5
214,61,41545,49
215,41,41689,9
216,32,31174,4
217,49,108461,22
218,49,146174,9
219,41,123033,43
220,58,29348,1
221,69,43714,12
222,66,58102,39
223,66,94460,1
224,69,122634,83
225,29,109930,64
226,56,26801,62
227,19,123150,100
228,20,92267,72
229,66,68136,16
230,54,43625,8
231,66,102873,74
232,34,120843,14
233,66,92592,23
234,19,97052,37
235,19,64261,34
236,45,21542,93
237,40,41677,94
238,54,66732,48
239,49,70343,68
240,50,59081,61
241,18,82856,59
242,36,113105,49
243,19,108858,77
244,70,39065,74
245,61,144097,8
246,43,103460,33
247,49,108092,75
248,23,146116,98
249,49,74693,34
250,21,46962,0
251,28,48295,39
252,34,33807,63
253,55,62348,21
254,41,46432,59
255,22,103285,63
256,69,126995,92
257,51,111792,71
258,23,77854,10
259,39,60262,100
260,28,57080,13
261,65,21324,59
262,33,111267,29
263,50,144707,34
264,26,55909,84
265,23,109339,36
266,33,39870,4
267,46,54578,82
268,20,92124,77
269,37,137611,25
270,53,123605,61
271,36,46790,3
272,43,138874,88
273,20,45289,41
274,36,75129,88
275,37,113714,17
276,49,114246,39
277,24,35485,71
278,69,64482,38
279,58,106188,13
280,50,24748,31
281,57,106769,50
282,56,29435,37
283,35,23709,96
284,57,143961,22
285,18,50355,62
286,28,75771,14
287,45,77799,96
288,42,33116,24
289,67,45470,16
290,40,62344,96
291,48,62918,65
292,47,72224,77
293,59,59298,52
294,52,128492,50
295,24,100219,38
296,33,81629,50
297,43,86040,69
298,65,119518,5
299,69,119835,66
300,66,48016,6
301,19,43960,50
302,18,53591,71
303,65,102848,41
304,29,123333,63
305,22,131732,14
306,54,134821,28
307,49,87641,32
308,26,56395,93
309,58,131276,26
310,52,149695,35
311,36,42700,28
312,65,54620,37
313,33,123214,56
314,20,148148,96
315,37,40559,100
316,41,113045,26
317,50,113396,54
318,41,81642,32
319,69,96539,67
320,28,41732,85
321,66,148675,65
322,25,111362,9
323,53,50354,4
324,55,33843,73
325,57,130008,96
326,37,134065,37
327,52,91726,12
328,65,37640,30
329,42,72528,46
330,52,58413,99
331,42,148142,87
332,46,72638,51
333,35,72736,55
334,63,127892,14
335,35,130133,28
336,19,126357,7
337,52,88866,4
338,33,39087,28
339,58,61430,46
340,53,44504,67
341,50,27114,75
342,21,98859,44
343,50,119657,1
344,31,30975,26
345,38,31023,94
346,65,41447,35
347,37,110469,35
348,25,145899,25
349,24,43959,42
350,20,86203,26
351,34,139156,68
352,50,49703,19
353,65,29337,10
