id,idade,renda_anual,pontuacao_gastos,cluster
1,56,94740,90,0
2,69,136352,50,0
3,46,86617,62,1
4,32,114841,97,2
5,60,36896,51,1
6,25,145729,37,2
7,38,66175,96,1
8,56,27805,87,1
9,36,25237,78,1
10,40,135247,29,0
11,28,40056,50,2
12,28,65543,80,2
13,41,76556,4,2
14,70,134548,28,0
15,53,131488,3,0
16,57,23343,9,1
17,41,33500,55,1
18,20,73222,16,2
19,39,49375,73,1
20,70,29662,16,1
21,19,36964,83,2
22,41,133429,87,0
23,61,141692,68,0
24,47,79638,33,1
25,55,93666,5,0
26,19,105067,52,2
27,38,138937,65,0
28,50,87215,76,1
29,29,89042,42,2
30,39,33284,74,1
31,61,92789,22,0
32,42,104664,54,0
33,66,113468,79,0
34,44,81389,94,1
35,59,29435,74,1
36,45,74340,15,2
37,33,64078,7,2
38,32,98832,3,2
39,64,71293,3,1
40,68,115981,55,0
41,61,98781,24,0
42,69,80403,66,1
43,20,49124,95,2
44,54,115435,66,0
45,68,63919,26,1
46,24,128761,92,2
47,38,141305,31,0
48,26,55247,49,2
49,56,141172,60,0
50,35,114758,50,2
51,21,111747,18,2
52,42,82752,20,2
53,31,76573,4,2
54,67,79101,81,1
55,26,122756,91,2
56,43,46646,41,1
57,70,124185,60,0
58,19,43049,21,2
59,37,99605,20,2
60,45,118116,69,0
61,64,117379,0,0
62,24,88385,4,2
63,61,146131,11,0
64,25,60158,89,2
65,64,85417,45,0
66,52,43289,33,1
67,31,130226,48,2
68,34,120793,77,2
69,53,29823,89,1
70,67,80160,44,1
71,57,61975,26,1
72,21,29540,72,2
73,19,36364,25,2
74,23,24611,46,2
75,59,47663,85,1
76,21,71991,55,2
77,46,77679,93,1
78,35,124182,62,0
79,43,50977,47,1
80,61,114704,60,0
81,51,69115,80,1
82,27,111007,25,2
83,53,108223,35,0
84,31,80890,0,2
85,48,86387,7,0
86,65,38071,98,1
87,32,79275,51,2
88,25,92369,78,2
89,31,31938,46,2
90,40,55195,55,1
91,57,111680,85,0
92,38,24000,13,1
93,33,90588,89,2
94,62,121042,27,0
95,35,113610,86,2
96,64,140420,77,0
97,70,123691,87,0
98,41,126306,1,0
99,43,117856,25,0
100,42,58304,13,2
101,62,131783,58,0
102,58,89449,55,0
103,46,102986,6,0
104,32,109643,2,2
105,62,40764,22,1
106,18,128940,17,2
107,42,106027,37,0
108,24,58494,98,2
109,26,23373,14,2
110,41,32161,63,1
111,18,117532,88,2
112,61,112658,100,0
113,25,143633,27,2
114,41,120386,73,0
115,28,47350,38,2
116,68,113008,56,0
117,34,114297,16,2
118,25,45351,85,2
119,52,108668,89,0
120,52,134585,43,0
121,50,35305,24,1
122,22,95353,16,2
123,59,96797,12,0
124,56,85953,83,1
125,58,77458,24,1
126,45,127112,67,0
127,24,40358,9,2
128,26,23267,66,2
129,25,102745,17,2
130,29,109588,99,2
131,51,58513,85,1
132,50,46092,33,1
133,65,31338,7,1
134,40,20412,39,1
135,41,27543,82,1
136,54,125891,41,0
137,52,53496,40,1
138,61,80692,100,1
139,57,109084,5,0
140,39,112920,51,0
141,44,143555,25,0
142,52,64425,63,1
143,18,58756,97,2
144,52,38888,58,1
145,54,55735,55,1
146,64,67295,58,1
147,31,137474,69,0
148,20,134352,100,2
149,18,103042,32,2
150,22,105999,52,2
151,43,37955,21,1
152,31,57841,20,2
153,56,90640,69,0
154,44,85510,69,1
155,26,54911,3,2
156,32,79031,93,2
157,32,108726,74,2
158,43,27357,61,1
159,59,52479,61,1
160,30,81476,93,2
161,68,64811,94,1
162,49,56208,23,1
163,56,40150,54,1
164,66,91180,8,0
165,69,63286,2,1
166,49,132856,30,0
167,21,88450,39,2
168,47,41352,100,1
169,54,75069,35,1
170,40,131888,23,0
171,56,130448,94,0
172,62,34397,5,1
173,32,61555,65,2
174,60,66959,83,1
175,46,20728,91,1
176,53,70517,74,1
177,30,139180,3,2
178,49,86234,78,1
179,24,59954,5,2
180,68,67280,93,1
181,39,99459,50,2
182,45,36779,61,1
183,19,83932,56,2
184,59,92936,65,0
185,62,44466,78,1
186,70,56939,74,1
187,23,89896,7,2
188,45,55270,25,1
189,45,79163,50,1
190,61,102637,44,0
191,61,71934,43,1
192,37,84895,4,2
193,47,52307,69,1
194,28,74098,25,2
195,45,80921,67,1
196,42,25486,18,1
197,56,28335,83,1
198,50,106900,96,0
199,18,146020,19,2
200,44,141954,11,0
201,69,122795,46,0
202,30,109112,0,2
203,58,117203,89,0
204,20,31130,13,2
205,56,107508,63,0
206,23,125955,37,2
207,25,138324,36,2
208,44,80566,10,2
209,26,86703,99,2
210,54,47192,76,1
211,50,21062,2,1
212,68,104076,32,0
213,59,109780,5,0
214,61,41545,49,1
215,41,41689,9,1
216,32,31174,4,2
217,49,108461,22,0
218,49,146174,9,0
219,41,123033,43,0
220,58,29348,1,1
221,69,43714,12,1
222,66,58102,39,1
223,66,94460,1,0
224,69,122634,83,0
225,29,109930,64,2
226,56,26801,62,1
227,19,123150,100,2
228,20,92267,72,2
229,66,68136,16,1
230,54,43625,8,1
231,66,102873,74,0
232,34,120843,14,2
233,66,92592,23,0
234,19,97052,37,2
235,19,64261,34,2
236,45,21542,93,1
237,40,41677,94,1
238,54,66732,48,1
239,49,70343,68,1
240,50,59081,61,1
241,18,82856,59,2
242,36,113105,49,2
243,19,108858,77,2
244,70,39065,74,1
245,61,144097,8,0
246,43,103460,33,0
247,49,108092,75,0
248,23,146116,98,2
249,49,74693,34,1
250,21,46962,0,2
251,28,48295,39,2
252,34,33807,63,1
253,55,62348,21,1
254,41,46432,59,1
255,22,103285,63,2
256,69,126995,92,0
257,51,111792,71,0
258,23,77854,10,2
259,39,60262,100,1
260,28,57080,13,2
261,65,21324,59,1
262,33,111267,29,2
263,50,144707,34,0
264,26,55909,84,2
265,23,109339,36,2
266,33,39870,4,2
267,46,54578,82,1
268,20,92124,77,2
269,37,137611,25,0
270,53,123605,61,0
271,36,46790,3,2
272,43,138874,88,0
273,20,45289,41,2
274,36,75129,88,2
275,37,113714,17,2
276,49,114246,39,0
277,24,35485,71,2
278,69,64482,38,1
279,58,106188,13,0
280,50,24748,31,1
281,57,106769,50,0
282,56,29435,37,1
283,35,23709,96,1
284,57,143961,22,0
285,18,50355,62,2
286,28,75771,14,2
287,45,77799,96,1
