"","id","average_depth","anomaly_score","status"
"1",1,7.95,0.58,"normal"
"2",2,7.98,0.58,"normal"
"3",3,7.59,0.6,"normal"
"4",4,7.76,0.59,"normal"
"5",5,8,0.58,"normal"
"6",6,7.94,0.58,"normal"
"7",7,6.84,0.63,"anomalia"
"8",8,7.91,0.59,"normal"
"9",9,7.83,0.59,"normal"
"10",10,7.14,0.62,"normal"
"11",11,7.74,0.59,"normal"
"12",12,7.74,0.59,"normal"
"13",13,7.62,0.6,"normal"
"14",14,7.85,0.59,"normal"
"15",15,7.96,0.58,"normal"
"16",16,7.83,0.59,"normal"
"17",17,7.84,0.59,"normal"
"18",18,7.86,0.59,"normal"
"19",19,7.8,0.59,"normal"
"20",20,7.72,0.59,"normal"
"21",21,7.89,0.59,"normal"
"22",22,7.93,0.58,"normal"
"23",23,7.62,0.6,"normal"
"24",24,7.92,0.59,"normal"
"25",25,7.98,0.58,"normal"
"26",26,7.94,0.58,"normal"
"27",27,7.7,0.59,"normal"
"28",28,7.71,0.59,"normal"
"29",29,7.91,0.59,"normal"
"30",30,7.82,0.59,"normal"
"31",31,7.5,0.6,"normal"
"32",32,7.45,0.6,"normal"
"33",33,7.78,0.59,"normal"
"34",34,7.94,0.58,"normal"
"35",35,7.92,0.59,"normal"
"36",36,7.72,0.59,"normal"
"37",37,7.84,0.59,"normal"
"38",38,7.73,0.59,"normal"
"39",39,7.79,0.59,"normal"
"40",40,7.79,0.59,"normal"
"41",41,7.84,0.59,"normal"
"42",42,7.85,0.59,"normal"
"43",43,7.95,0.58,"normal"
"44",44,7.72,0.59,"normal"
"45",45,7.11,0.62,"normal"
"46",46,7.4,0.61,"normal"
"47",47,7.93,0.58,"normal"
"48",48,6.66,0.64,"anomalia"
"49",49,7.95,0.58,"normal"
"50",50,7.81,0.59,"normal"
"51",51,7.81,0.59,"normal"
"52",52,7.98,0.58,"normal"
"53",53,7.73,0.59,"normal"
"54",54,7.94,0.58,"normal"
"55",55,7.95,0.58,"normal"
"56",56,7.94,0.58,"normal"
"57",57,6.7,0.64,"anomalia"
"58",58,7.98,0.58,"normal"
"59",59,7.82,0.59,"normal"
"60",60,7.69,0.59,"normal"
"61",61,7.47,0.6,"normal"
"62",62,7.93,0.58,"normal"
"63",63,7.95,0.58,"normal"
"64",64,7.79,0.59,"normal"
"65",65,6.95,0.62,"normal"
